1048 | 7 | Dune: Part Three | A2 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1068 | 8 | Dune: Part Three | A2 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1069 | 8 | Dune: Part Three | A3 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1070 | 8 | Dune: Part Three | A4 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1071 | 8 | Dune: Part Three | B5 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1072 | 8 | Dune: Part Three | A5 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1073 | 8 | Dune: Part Three | B4 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1074 | 8 | Dune: Part Three | B3 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1075 | 8 | Dune: Part Three | B2 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1076 | 8 | Dune: Part Three | B1 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1077 | 8 | Dune: Part Three | C1 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1078 | 8 | Dune: Part Three | C2 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1079 | 8 | Dune: Part Three | C3 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1080 | 8 | Dune: Part Three | C4 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1081 | 8 | Dune: Part Three | C5 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1082 | 8 | Dune: Part Three | D5 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1083 | 8 | Dune: Part Three | D4 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1084 | 8 | Dune: Part Three | D3 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1085 | 8 | Dune: Part Three | D2 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1086 | 8 | Dune: Part Three | D1 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1087 | 9 | Dune: Part Three | A1 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1049 | 7 | Dune: Part Three | A4 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1050 | 7 | Dune: Part Three | A5 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1051 | 7 | Dune: Part Three | A3 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1052 | 7 | Dune: Part Three | B1 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1053 | 7 | Dune: Part Three | B2 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1054 | 7 | Dune: Part Three | B3 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1055 | 7 | Dune: Part Three | B4 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1056 | 7 | Dune: Part Three | C5 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1057 | 7 | Dune: Part Three | B5 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1058 | 7 | Dune: Part Three | D5 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1059 | 7 | Dune: Part Three | D4 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1060 | 7 | Dune: Part Three | C4 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1061 | 7 | Dune: Part Three | C3 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1062 | 7 | Dune: Part Three | C1 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1063 | 7 | Dune: Part Three | D1 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1064 | 7 | Dune: Part Three | C2 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1065 | 7 | Dune: Part Three | D3 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1066 | 7 | Dune: Part Three | D2 (Premium) | 450.0 | Cancelled | 18-08-2026 10:00 pm
1046 | 5 | Spider-Man: Brand New Day | A1 (Regular) | 450.0 | Cancelled | 16-08-2026 02:00 PM
1047 | 6 | Dune: Part Three | A1 (Regular) | 350.0 | Cancelled | 18-08-2026 10:00 pm
1044 | 4 | Spider-Man: Brand New Day | C2 (Premium) | 550.0 | Cancelled | 16-08-2026 02:00 PM
1045 | 4 | Spider-Man: Brand New Day | D1 (Premium) | 550.0 | Cancelled | 16-08-2026 02:00 PM
1088 | 10 | The Odyssey | A1 (Regular) | 400.0 | Confirmed | 18-08-2026 10:00 PM
1089 | 11 | The Odyssey | A2 (Regular) | 400.0 | Confirmed | 18-08-2026 10:00 PM
1090 | 12 | Spider-Man: Brand New Day | A1 (Regular) | 600.0 | Confirmed | 18-08-2026 06:00 PM
